,0
mode_boiling_point,2479.1809104312924
minimum_first_ioniz,839.147761624883
maximum_first_ioniz,95.66705144940964
range_first_ioniz,386.3420124499393
mean_first_ioniz,12.414634211262566
avg_dev_first_ioniz,311.78687795622596
mode_first_ioniz,8.378905144548963
minimum_thermal_conductivity,415.739643400361
maximum_thermal_conductivity,18.87674262478145
range_thermal_conductivity,112.21515825185949
mean_thermal_conductivity,60.30237728340567
avg_dev_thermal_conductivity,108.96053486830434
mode_thermal_conductivity,144.7097217865023
F0,4000.406707555526
F1,4063.9950280086528
F2,3856.391730204684
F3,3826.736777038305
F4,4035.531528688589
F5,3476.8333774992957
F6,537.7650790395476
F7,559.7396869447064
F8,475.5940263712403
F9,588.5431274925444
F10,526.2144146668033
F11,580.3833273110923
F12,29.294464434337304
