,0
mode_boiling_point,1238.728647927013
minimum_first_ioniz,678.6508105611675
maximum_first_ioniz,18.81569517528197
range_first_ioniz,181.8744403233726
mean_first_ioniz,0.00673193736240324
avg_dev_first_ioniz,142.8914747202825
mode_first_ioniz,3.583215313883448
minimum_thermal_conductivity,262.30359830872936
maximum_thermal_conductivity,68.39227227602045
range_thermal_conductivity,179.85966008388127
mean_thermal_conductivity,4.374668336990844
avg_dev_thermal_conductivity,183.4517500158413
mode_thermal_conductivity,28.894625426348036
F0,5557.501886601977
F1,5580.561856693466
F2,5535.863298730136
F3,5314.993584524066
F4,5722.90585356666
F5,5139.7751597698025
F6,1036.9856539811353
F7,1048.547092239817
F8,914.8485996794788
F9,1069.940387698734
F10,965.5966809367164
F11,1015.5949529641945
F12,71.96003457799262
